,asian_pop,black_pop,hispanic_p,no_car_hh,poverty_po,white_pop,ave_hh_inc,edu_uni,edu_high,hh_incm_hi,hh,pop,age65,poverty_perc,pos,geometry,row,col,grid_area
44,19.7543500022,8.34548028754,14.4682847157,19.950707146,262.677893331,56.6509083143,84966.7398389,31.6910360496,7.84571496625,25.9171268004,926.902606907,2246.39099702,10.0742957875,11.6933291524,5_24,"POLYGON ((-1651327.704565505 515097.5045573009, -1650327.704565505 515097.5045573009, -1650327.704565505 514097.5045573009, -1651327.704565505 514097.5045573009, -1651327.704565505 515097.5045573009))",5,24,1000000.0
45,53.5730380967,29.2485903791,4.7645390396,10.1807181866,1057.35180125,9.3411539578,71087.2364382,31.1902865069,21.6945633701,23.7250671189,1348.26235794,4653.03160369,13.2348045206,22.7239333688,9_24,"POLYGON ((-1647327.704565505 515097.5045573009, -1646327.704565505 515097.5045573009, -1646327.704565505 514097.5045573009, -1647327.704565505 514097.5045573009, -1647327.704565505 515097.5045573009))",9,24,1000000.0
46,6.97855822023,1.83544652827,4.2818136915,2.94428820639,125.728123537,83.1142608902,178180.430528,56.3796812344,6.78549410482,63.5678513779,1031.43373607,2298.70079171,18.6878541446,5.4695297444,2_24,"POLYGON ((-1654327.704565505 515097.5045573009, -1653327.704565505 515097.5045573009, -1653327.704565505 514097.5045573009, -1654327.704565505 514097.5045573009, -1654327.704565505 515097.5045573009))",2,24,1000000.0
47,26.9292062064,10.0950155936,26.7483143856,14.2135685654,271.580140141,38.6094211315,95648.0631765,22.597691692,24.2645467786,20.5097499766,435.870222039,1234.32816485,10.4181432385,22.0022638934,6_25,"POLYGON ((-1650327.704565505 514097.5045573009, -1649327.704565505 514097.5045573009, -1649327.704565505 513097.5045573009, -1650327.704565505 513097.5045573009, -1650327.704565505 514097.5045573009))",6,25,1000000.0
48,10.993975681,14.7252771527,3.41832468947,14.2074484605,56.4583453428,65.9318471857,199905.677028,52.7664720874,3.86222378773,61.985480384,109.063949942,260.584246857,27.6006177647,21.6660623287,12_26,"POLYGON ((-1644327.704565505 513097.5045573009, -1643327.704565505 513097.5045573009, -1643327.704565505 512097.5045573009, -1644327.704565505 512097.5045573009, -1644327.704565505 513097.5045573009))",12,26,1000000.0
49,22.4794604228,12.0028374878,19.445068067,12.3884159164,196.317035653,46.1292626476,85836.3912546,19.6782143776,14.3334727967,28.8186186659,309.920974903,764.978115029,16.241749638,25.6630917665,6_26,"POLYGON ((-1650327.704565505 513097.5045573009, -1649327.704565505 513097.5045573009, -1649327.704565505 512097.5045573009, -1650327.704565505 512097.5045573009, -1650327.704565505 513097.5045573009))",6,26,1000000.0
50,54.9414927131,21.951635924,7.16099178831,4.27702448614,302.521956138,12.7260899414,109946.410892,21.7675264276,29.2122689827,32.2316313892,533.070519931,1738.56445744,16.5396851552,17.400675301,9_26,"POLYGON ((-1647327.704565505 513097.5045573009, -1646327.704565505 513097.5045573009, -1646327.704565505 512097.5045573009, -1647327.704565505 512097.5045573009, -1647327.704565505 513097.5045573009))",9,26,1000000.0
51,29.7175589756,10.8856014787,18.0068418283,15.2100867925,112.192732792,41.1587673646,85647.0660051,17.596010716,25.6619237116,32.3936567889,209.844626909,593.57340807,13.441412689,18.9012397232,5_26,"POLYGON ((-1651327.704565505 513097.5045573009, -1650327.704565505 513097.5045573009, -1650327.704565505 512097.5045573009, -1651327.704565505 512097.5045573009, -1651327.704565505 513097.5045573009))",5,26,1000000.0
52,24.1535772794,36.5996547762,14.7079084879,15.6221720955,361.60578924,25.6839737465,107200.509777,20.0927883283,32.9318314419,27.1263467483,524.108578693,1434.05052025,12.4279137781,25.2156938779,11_26,"POLYGON ((-1645327.704565505 513097.5045573009, -1644327.704565505 513097.5045573009, -1644327.704565505 512097.5045573009, -1645327.704565505 512097.5045573009, -1645327.704565505 513097.5045573009))",11,26,1000000.0
53,6.52532953213,1.04831655854,4.33757533632,1.18501015639,10.0765863419,85.0488872918,170465.339153,50.0820969493,2.44697882695,63.1640148277,215.257242216,479.331577419,23.4902736175,2.10221625627,1_26,"POLYGON ((-1655327.704565505 513097.5045573009, -1654327.704565505 513097.5045573009, -1654327.704565505 512097.5045573009, -1655327.704565505 512097.5045573009, -1655327.704565505 513097.5045573009))",1,26,1000000.0
54,40.6686046665,36.5671480316,11.4638649805,13.0574646085,1071.49278477,10.6320572312,68109.4145925,20.1014481076,31.5905676167,23.7009016868,1253.68014623,3922.09439044,12.1198026249,27.3194033113,10_26,"POLYGON ((-1646327.704565505 513097.5045573009, -1645327.704565505 513097.5045573009, -1645327.704565505 512097.5045573009, -1646327.704565505 512097.5045573009, -1646327.704565505 513097.5045573009))",10,26,1000000.0
55,6.27552475099,1.98876832851,6.11937134752,1.991698018,47.2066543732,81.280427998,140080.2158,50.7697168815,2.5175634877,57.3396640865,767.199756729,1816.91992034,17.3855867869,2.59816923381,2_26,"POLYGON ((-1654327.704565505 513097.5045573009, -1653327.704565505 513097.5045573009, -1653327.704565505 512097.5045573009, -1654327.704565505 512097.5045573009, -1654327.704565505 513097.5045573009))",2,26,1000000.0
56,7.27798121706,2.45576625717,7.22586006947,2.77191063397,6.71100790677,78.1609280021,117114.584483,45.5172307323,2.01850557469,50.1581444331,108.05101046,243.81325804,13.1556642096,2.75251967868,3_26,"POLYGON ((-1653327.704565505 513097.5045573009, -1652327.704565505 513097.5045573009, -1652327.704565505 512097.5045573009, -1653327.704565505 512097.5045573009, -1653327.704565505 513097.5045573009))",3,26,1000000.0
57,18.205,12.0306,14.9586,12.2053,11.9656732521,52.3234,83015.0,22.9765,3.6554,32.0388,20.0168223081,43.6150178169,20.3692,27.4347549332,7_27,"POLYGON ((-1649327.704565505 512097.5045573009, -1648327.704565505 512097.5045573009, -1648327.704565505 511097.5045573009, -1649327.704565505 511097.5045573009, -1649327.704565505 512097.5045573009))",7,27,1000000.0
58,6.8316654758,1.55958673855,5.66560674691,1.09687542643,17.1380528815,80.8020142337,145281.578863,49.3965815625,1.81837774496,58.3322405923,320.688263537,759.39505637,19.7141655141,2.25680332493,2_27,"POLYGON ((-1654327.704565505 512097.5045573009, -1653327.704565505 512097.5045573009, -1653327.704565505 511097.5045573009, -1654327.704565505 511097.5045573009, -1654327.704565505 512097.5045573009))",2,27,1000000.0
59,6.70523748905,1.09357253597,4.56655185136,1.03588497593,5.04281167078,83.9934040551,165695.557893,49.6020833384,2.18228445901,62.1970153399,107.578021692,242.460628295,22.9973684333,2.0798476463,1_27,"POLYGON ((-1655327.704565505 512097.5045573009, -1654327.704565505 512097.5045573009, -1654327.704565505 511097.5045573009, -1655327.704565505 511097.5045573009, -1655327.704565505 512097.5045573009))",1,27,1000000.0
60,15.5579752114,12.7419879296,45.8695460363,12.4776781107,182.692850583,36.9886398641,72138.5737159,17.248679588,30.2610585712,15.3729133725,211.386484656,682.846927438,9.23767181055,26.7545833834,7_26,"POLYGON ((-1649327.704565505 513097.5045573009, -1648327.704565505 513097.5045573009, -1648327.704565505 512097.5045573009, -1649327.704565505 512097.5045573009, -1649327.704565505 513097.5045573009))",7,26,1000000.0
61,35.9882,5.4572,15.2655,20.3463,0.0360484613257,37.6844,99601.0,32.0796,24.4469,42.2078,0.118116234982,0.346678819558,12.7581,10.3982300885,4_26,"POLYGON ((-1652327.704565505 513097.5045573009, -1651327.704565505 513097.5045573009, -1651327.704565505 512097.5045573009, -1652327.704565505 512097.5045573009, -1652327.704565505 513097.5045573009))",4,26,1000000.0
62,16.7264,6.0932,13.0227,14.6402,4.50205519031,60.2151,69871.0,24.424,18.7404,24.0695,13.7449109219,28.547122684,8.1243,15.770609319,8_26,"POLYGON ((-1648327.704565505 513097.5045573009, -1647327.704565505 513097.5045573009, -1647327.704565505 512097.5045573009, -1648327.704565505 512097.5045573009, -1648327.704565505 513097.5045573009))",8,26,1000000.0
63,4.42970964204,3.12136914409,5.04684687932,6.70184923544,145.991180253,83.7913978705,134940.159739,57.2550768708,0.882758808814,48.6222102216,1030.55791851,2096.74178016,15.993869359,6.96276392421,2_22,"POLYGON ((-1654327.704565505 517097.5045573009, -1653327.704565505 517097.5045573009, -1653327.704565505 516097.5045573009, -1654327.704565505 516097.5045573009, -1654327.704565505 517097.5045573009))",2,22,1000000.0
64,20.6793263822,38.255270891,11.3500311192,22.6644182101,1445.63787091,27.6254690807,87198.9256729,26.9283381824,18.885897912,26.1000182806,1361.9635869,3899.11748664,8.83000085831,37.0760274823,4_22,"POLYGON ((-1652327.704565505 517097.5045573009, -1651327.704565505 517097.5045573009, -1651327.704565505 516097.5045573009, -1652327.704565505 516097.5045573009, -1652327.704565505 517097.5045573009))",4,22,1000000.0
65,17.0853632972,22.4655373327,7.81956646532,16.0730842938,258.330258968,48.8228895988,118026.196677,56.1017077853,7.89276006236,45.4502349786,821.14982487,1999.25583871,13.9051133174,12.9213207217,11_22,"POLYGON ((-1645327.704565505 517097.5045573009, -1644327.704565505 517097.5045573009, -1644327.704565505 516097.5045573009, -1645327.704565505 516097.5045573009, -1645327.704565505 517097.5045573009))",11,22,1000000.0
66,55.7689761815,7.03105230181,8.24696748344,12.827488428,105.914025484,25.9629396029,130342.391576,43.3360583561,12.1626312826,54.5025997441,766.357549688,2213.93502381,17.5194124202,4.78397172204,8_22,"POLYGON ((-1648327.704565505 517097.5045573009, -1647327.704565505 517097.5045573009, -1647327.704565505 516097.5045573009, -1648327.704565505 516097.5045573009, -1648327.704565505 517097.5045573009))",8,22,1000000.0
